Company,Symbol,Market,Event_type,Date,Quarter,EPS,Forecast,# Estimates,% Surprise,Footer Date
Northrop Grumman Corporation,NOC,NYSE,Exceeded,07-26-2017,Jun 2017,3.15 ,2.84 ,9 ,10.92 ,07/26/2017 18:01
Baxter International Inc.,BAX,NYSE,Exceeded,07-26-2017,Jun 2017,0.63 ,0.57 ,9 ,10.53 ,07/26/2017 18:01
First Commonwealth Financial Corporation,FCF,NYSE,Exceeded,07-26-2017,Jun 2017,0.21 ,0.19 ,3 ,10.53 ,07/26/2017 18:01
Forward Air Corporation,FWRD,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.64 ,0.58 ,6 ,10.34 ,07/26/2017 18:01
"Tyler Technologies, Inc.",TYL,NYSE,Exceeded,07-26-2017,Jun 2017,0.86 ,0.78 ,5 ,10.26 ,07/26/2017 18:01
Barrick Gold Corporation,ABX,NYSE,Exceeded,07-26-2017,Jun 2017,0.22 ,0.2 ,7 ,10 ,07/26/2017 18:01
Boeing Company (The),BA,NYSE,Exceeded,07-26-2017,Jun 2017,2.55 ,2.32 ,10 ,9.91 ,07/26/2017 18:01
"Varian Medical Systems, Inc.",VAR,NYSE,Exceeded,07-26-2017,Jun 2017,1.04 ,0.95 ,4 ,9.47 ,07/26/2017 18:01
Cadence Bancorporation,CADE,NYSE,Exceeded,07-26-2017,Jun 2017,0.35 ,0.32 ,4 ,9.38 ,07/26/2017 18:01
"PayPal Holdings, Inc.",PYPL,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.36 ,0.33 ,12 ,9.09 ,07/26/2017 18:01
"M/I Homes, Inc.",MHO,NYSE,Exceeded,07-26-2017,Jun 2017,0.73 ,0.67 ,1 ,8.96 ,07/26/2017 18:01
"NETGEAR, Inc.",NTGR,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.49 ,0.45 ,2 ,8.89 ,07/26/2017 18:01
"MarketAxess Holdings, Inc.",MKTX,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,1 ,0.92 ,2 ,8.7 ,07/26/2017 18:01
"On Assignment, Inc.",ASGN,NYSE,Exceeded,07-26-2017,Jun 2017,0.78 ,0.72 ,5 ,8.33 ,07/26/2017 18:01
"Unifi, Inc.",UFI,NYSE,Exceeded,07-26-2017,Jun 2017,0.52 ,0.48 ,1 ,8.33 ,07/26/2017 18:01
DTE Energy Company,DTE,NYSE,Exceeded,07-26-2017,Jun 2017,1.07 ,0.99 ,4 ,8.08 ,07/26/2017 18:01
"Speedway Motorsports, Inc.",TRK,NYSE,Exceeded,07-26-2017,Jun 2017,0.68 ,0.63 ,1 ,7.94 ,07/26/2017 18:01
XL Group Ltd.,XL,NYSE,Exceeded,07-26-2017,Jun 2017,0.96 ,0.89 ,6 ,7.87 ,07/26/2017 18:01
"Blue Hills Bancorp, Inc.",BHBK,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.14 ,0.13 ,1 ,7.69 ,07/26/2017 18:01
"Ryder System, Inc.",R,NYSE,Exceeded,07-26-2017,Jun 2017,1 ,0.93 ,6 ,7.53 ,07/26/2017 18:01
"First Interstate BancSystem, Inc.",FIBK,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.59 ,0.55 ,4 ,7.27 ,07/26/2017 18:01
"Innoviva, Inc.",INVA,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.3 ,0.28 ,3 ,7.14 ,07/26/2017 18:01
DDR Corp.,DDR,NYSE,Exceeded,07-26-2017,Jun 2017,0.3 ,0.28 ,12 ,7.14 ,07/26/2017 18:01
"O'Reilly Automotive, Inc.",ORLY,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,3.1 ,2.9 ,11 ,6.9 ,07/26/2017 18:01
"Churchill Downs, Incorporated",CHDN,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,4.81 ,4.5 ,3 ,6.89 ,07/26/2017 18:01
Banner Corporation,BANR,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.78 ,0.73 ,4 ,6.85 ,07/26/2017 18:01
"WEC Energy Group, Inc.",WEC,NYSE,Exceeded,07-26-2017,Jun 2017,0.63 ,0.59 ,6 ,6.78 ,07/26/2017 18:01
"Rockwell Automation, Inc.",ROK,NYSE,Exceeded,07-26-2017,Jun 2017,1.76 ,1.65 ,10 ,6.67 ,07/26/2017 18:01
Duke Realty Corporation,DRE,NYSE,Exceeded,07-26-2017,Jun 2017,0.32 ,0.3 ,7 ,6.67 ,07/26/2017 18:01
"Host Hotels & Resorts, Inc.",HST,NYSE,Exceeded,07-26-2017,Jun 2017,0.49 ,0.46 ,10 ,6.52 ,07/26/2017 18:01
State Street Corporation,STT,NYSE,Exceeded,07-26-2017,Jun 2017,1.67 ,1.57 ,7 ,6.37 ,07/26/2017 18:01
"Nasdaq, Inc.",NDAQ,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,1.02 ,0.96 ,7 ,6.25 ,07/26/2017 18:01
SJW Group,SJW,NYSE,Exceeded,07-26-2017,Jun 2017,0.68 ,0.64 ,1 ,6.25 ,07/26/2017 18:01
TE Connectivity Ltd.,TEL,NYSE,Exceeded,07-26-2017,Jun 2017,1.24 ,1.17 ,6 ,5.98 ,07/26/2017 18:01
Kite Realty Group Trust,KRG,NYSE,Exceeded,07-26-2017,Jun 2017,0.54 ,0.51 ,7 ,5.88 ,07/26/2017 18:01
"Whole Foods Market, Inc.",WFM,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.36 ,0.34 ,12 ,5.88 ,07/26/2017 18:01
Lear Corporation,LEA,NYSE,Exceeded,07-26-2017,Jun 2017,4.39 ,4.15 ,9 ,5.78 ,07/26/2017 18:01
"NextEra Energy, Inc.",NEE,NYSE,Exceeded,07-26-2017,Jun 2017,1.86 ,1.76 ,5 ,5.68 ,07/26/2017 18:01
"Tower International, Inc.",TOWR,NYSE,Exceeded,07-26-2017,Jun 2017,0.97 ,0.92 ,4 ,5.43 ,07/26/2017 18:01
Statoil ASA,STO,NYSE,Exceeded,07-26-2017,Jun 2017,0.4 ,0.38 ,2 ,5.26 ,07/26/2017 18:01
Whiting Petroleum Corporation,WLL,NYSE,Exceeded,07-26-2017,Jun 2017,-0.18 ,-0.19 ,14 ,5.26 ,07/26/2017 18:01
"BankUnited, Inc.",BKU,NYSE,Exceeded,07-26-2017,Jun 2017,0.6 ,0.57 ,7 ,5.26 ,07/26/2017 18:01
"Meta Financial Group, Inc.",CASH,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,1.25 ,1.19 ,2 ,5.04 ,07/26/2017 18:01
"Xilinx, Inc.",XLNX,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.63 ,0.6 ,11 ,5 ,07/26/2017 18:01
"TRI Pointe Group, Inc.",TPH,NYSE,Exceeded,07-26-2017,Jun 2017,0.21 ,0.2 ,5 ,5 ,07/26/2017 18:01
Corning Incorporated,GLW,NYSE,Exceeded,07-26-2017,Jun 2017,0.42 ,0.4 ,8 ,5 ,07/26/2017 18:01
"Teradyne, Inc.",TER,NYSE,Exceeded,07-26-2017,Jun 2017,0.9 ,0.86 ,8 ,4.65 ,07/26/2017 18:01
Timken Company (The),TKR,NYSE,Exceeded,07-26-2017,Jun 2017,0.68 ,0.65 ,3 ,4.62 ,07/26/2017 18:01
Norfolk Souther Corporation,NSC,NYSE,Exceeded,07-26-2017,Jun 2017,1.71 ,1.64 ,11 ,4.27 ,07/26/2017 18:01
"Empire State Realty Trust, Inc.",ESRT,NYSE,Exceeded,07-26-2017,Jun 2017,0.25 ,0.24 ,4 ,4.17 ,07/26/2017 18:01
Hilton Worldwide Holdings Inc.,HLT,NYSE,Exceeded,07-26-2017,Jun 2017,0.52 ,0.5 ,10 ,4 ,07/26/2017 18:01
Axis Capital Holdings Limited,AXS,NYSE,Exceeded,07-26-2017,Jun 2017,1.31 ,1.26 ,4 ,3.97 ,07/26/2017 18:01
KapStone Paper and Packaging Corporation,KS,NYSE,Exceeded,07-26-2017,Jun 2017,0.27 ,0.26 ,5 ,3.85 ,07/26/2017 18:01
"CYS Investments, Inc.",CYS,NYSE,Exceeded,07-26-2017,Jun 2017,0.27 ,0.26 ,1 ,3.85 ,07/26/2017 18:01
Laboratory Corporation of America Holdings,LH,NYSE,Exceeded,07-26-2017,Jun 2017,2.47 ,2.38 ,12 ,3.78 ,07/26/2017 18:01
"Anthem, Inc.",ANTM,NYSE,Exceeded,07-26-2017,Jun 2017,3.37 ,3.25 ,9 ,3.69 ,07/26/2017 18:01
SEI Investments Company,SEIC,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.57 ,0.55 ,3 ,3.64 ,07/26/2017 18:01
"Omega Healthcare Investors, Inc.",OHI,NYSE,Exceeded,07-26-2017,Jun 2017,0.87 ,0.84 ,4 ,3.57 ,07/26/2017 18:01
Coca-Cola Company (The),KO,NYSE,Exceeded,07-26-2017,Jun 2017,0.59 ,0.57 ,9 ,3.51 ,07/26/2017 18:01
"Strayer Education, Inc.",STRA,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.92 ,0.89 ,2 ,3.37 ,07/26/2017 18:01
"Interface, Inc.",TILE,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.33 ,0.32 ,4 ,3.13 ,07/26/2017 18:01
BOK Financial Corporation,BOKF,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,1.35 ,1.31 ,7 ,3.05 ,07/26/2017 18:01
Natus Medical Incorporated,BABY,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.34 ,0.33 ,3 ,3.03 ,07/26/2017 18:01
Lam Research Corporation,LRCX,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,3.11 ,3.02 ,10 ,2.98 ,07/26/2017 18:01
People's Utah Bancorp,PUB,NASDAQ -CM,Exceeded,07-26-2017,Jun 2017,0.35 ,0.34 ,2 ,2.94 ,07/26/2017 18:01
GlaxoSmithKline PLC,GSK,NYSE,Exceeded,07-26-2017,Jun 2017,0.7 ,0.68 ,3 ,2.94 ,07/26/2017 18:01
Packaging Corporation of America,PKG,NYSE,Exceeded,07-26-2017,Jun 2017,1.52 ,1.48 ,7 ,2.7 ,07/26/2017 18:01
"FLIR Systems, Inc.",FLIR,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.42 ,0.41 ,6 ,2.44 ,07/26/2017 18:01
"Popular, Inc.",BPOP,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.94 ,0.92 ,2 ,2.17 ,07/26/2017 18:01
VCA Inc. ,WOOF,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.96 ,0.94 ,5 ,2.13 ,07/26/2017 18:01
Kirby Corporation,KEX,NYSE,Exceeded,07-26-2017,Jun 2017,0.48 ,0.47 ,6 ,2.13 ,07/26/2017 18:01
"Sun Communities, Inc.",SUI,NYSE,Exceeded,07-26-2017,Jun 2017,0.96 ,0.94 ,3 ,2.13 ,07/26/2017 18:01
"Mid-America Apartment Communities, Inc.",MAA,NYSE,Exceeded,07-26-2017,Jun 2017,1.48 ,1.45 ,7 ,2.07 ,07/26/2017 18:01
Ingersoll-Rand plc (Ireland),IR,NYSE,Exceeded,07-26-2017,Jun 2017,1.49 ,1.46 ,9 ,2.05 ,07/26/2017 18:01
"Equifax, Inc.",EFX,NYSE,Exceeded,07-26-2017,Jun 2017,1.6 ,1.57 ,9 ,1.91 ,07/26/2017 18:01
Torchmark Corporation,TMK,NYSE,Exceeded,07-26-2017,Jun 2017,1.19 ,1.17 ,6 ,1.71 ,07/26/2017 18:01
"Raymond James Financial, Inc.",RJF,NYSE,Exceeded,07-26-2017,Jun 2017,1.26 ,1.24 ,2 ,1.61 ,07/26/2017 18:01
Digimarc Corporation,DMRC,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,-0.68 ,-0.69 ,4 ,1.45 ,07/26/2017 18:01
"D.R. Horton, Inc.",DHI,NYSE,Exceeded,07-26-2017,Jun 2017,0.76 ,0.75 ,18 ,1.33 ,07/26/2017 18:01
Thermo Fisher Scientific Inc,TMO,NYSE,Exceeded,07-26-2017,Jun 2017,2.3 ,2.27 ,10 ,1.32 ,07/26/2017 18:01
Kilroy Realty Corporation,KRC,NYSE,Exceeded,07-26-2017,Jun 2017,0.87 ,0.86 ,8 ,1.16 ,07/26/2017 18:01
"Landstar System, Inc.",LSTR,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,0.89 ,0.88 ,9 ,1.14 ,07/26/2017 18:01
Arch Capital Group Ltd.,ACGL,NASDAQ -GS,Exceeded,07-26-2017,Jun 2017,1.21 ,1.2 ,6 ,0.83 ,07/26/2017 18:01
Tupperware Brands Corporation,TUP,NYSE,Exceeded,07-26-2017,Jun 2017,1.21 ,1.2 ,4 ,0.83 ,07/26/2017 18:01
"Alaska Air Group, Inc.",ALK,NYSE,Exceeded,07-26-2017,Jun 2017,2.51 ,2.5 ,9 ,0.4 ,07/26/2017 18:01
General Dynamics Corporation,GD,NYSE,Met,07-26-2017,Jun 2017,2.45 ,2.45 ,9 ,0 ,07/26/2017 18:01
Washington Prime Group Inc.,WPG,NYSE,Met,07-26-2017,Jun 2017,0.4 ,0.4 ,2 ,0 ,07/26/2017 18:01
Ethan Allen Interiors Inc.,ETH,NYSE,Met,07-26-2017,Jun 2017,0.42 ,0.42 ,4 ,0 ,07/26/2017 18:01
"Bloomin' Brands, Inc.",BLMN,NASDAQ -GS,Met,07-26-2017,Jun 2017,0.28 ,0.28 ,8 ,0 ,07/26/2017 18:01
"First Industrial Realty Trust, Inc.",FR,NYSE,Met,07-26-2017,Jun 2017,0.39 ,0.39 ,7 ,0 ,07/26/2017 18:01
"United Community Banks, Inc.",UCBI,NASDAQ -GS,Met,07-26-2017,Jun 2017,0.41 ,0.41 ,3 ,0 ,07/26/2017 18:01
"United Dominion Realty Trust, Inc.",UDR,NYSE,Met,07-26-2017,Jun 2017,0.47 ,0.47 ,8 ,0 ,07/26/2017 18:01
Integra LifeSciences Holdings Corporation,IART,NASDAQ -GS,Met,07-26-2017,Jun 2017,0.45 ,0.45 ,10 ,0 ,07/26/2017 18:01
New Gold Inc.,NGD,AMEX,Met,07-26-2017,Jun 2017,0.02 ,0.02 ,6 ,0 ,07/26/2017 18:01
Valley National Bancorp,VLY,NYSE,Met,07-26-2017,Jun 2017,0.18 ,0.18 ,4 ,0 ,07/26/2017 18:01
Kimco Realty Corporation,KIM,NYSE,Met,07-26-2017,Jun 2017,0.38 ,0.38 ,10 ,0 ,07/26/2017 18:01
"Knight Transportation, Inc.",KNX,NYSE,Met,07-26-2017,Jun 2017,0.25 ,0.25 ,10 ,0 ,07/26/2017 18:01
"BGC Partners, Inc.",BGCP,NASDAQ -GS,Met,07-26-2017,Jun 2017,0.24 ,0.24 ,1 ,0 ,07/26/2017 18:01
"PCM, Inc.",PCMI,NASDAQ -GM,Met,07-26-2017,Jun 2017,0.44 ,0.44 ,1 ,0 ,07/26/2017 18:01
Silgan Holdings Inc.,SLGN,NASDAQ -GS,Met,07-26-2017,Jun 2017,0.35 ,0.35 ,6 ,0 ,07/26/2017 18:01
"MiMedx Group, Inc",MDXG,NASDAQ -CM,Met,07-26-2017,Jun 2017,0.07 ,0.07 ,1 ,0 ,07/26/2017 18:01
AXT Inc,AXTI,NASDAQ -GS,Met,07-26-2017,Jun 2017,0.05 ,0.05 ,5 ,0 ,07/26/2017 18:01
Smith (A.O.) Corporation,AOS,NYSE,Met,07-26-2017,Jun 2017,0.53 ,0.53 ,9 ,0 ,07/26/2017 18:01
Realty Income Corporation,O,NYSE,Met,07-26-2017,Jun 2017,0.76 ,0.76 ,12 ,0 ,07/26/2017 18:01
CONMED Corporation,CNMD,NASDAQ -GS,Met,07-26-2017,Jun 2017,0.41 ,0.41 ,4 ,0 ,07/26/2017 18:01
"Rollins, Inc.",ROL,NYSE,Met,07-26-2017,Jun 2017,0.25 ,0.25 ,1 ,0 ,07/26/2017 18:01
Allegiant Travel Company,ALGT,NASDAQ -GS,Failed,07-26-2017,Jun 2017,2.94 ,2.96 ,8 ,-0.68 ,07/26/2017 18:01
"Prosperity Bancshares, Inc.",PB,NYSE,Failed,07-26-2017,Jun 2017,0.99 ,1 ,10 ,-1 ,07/26/2017 18:01
"Waste Management, Inc.",WM,NYSE,Failed,07-26-2017,Jun 2017,0.81 ,0.82 ,5 ,-1.22 ,07/26/2017 18:01
Stepan Company,SCL,NYSE,Failed,07-26-2017,Jun 2017,1.32 ,1.34 ,2 ,-1.49 ,07/26/2017 18:01
"Franklin Financial Network, Inc.",FSB,NYSE,Failed,07-26-2017,Jun 2017,0.64 ,0.65 ,3 ,-1.54 ,07/26/2017 18:01
Tractor Supply Company,TSCO,NASDAQ -GS,Failed,07-26-2017,Jun 2017,1.25 ,1.27 ,13 ,-1.57 ,07/26/2017 18:01
"Stock Yards Bancorp, Inc.",SYBT,NASDAQ -GS,Failed,07-26-2017,Jun 2017,0.46 ,0.47 ,2 ,-2.13 ,07/26/2017 18:01
"F5 Networks, Inc.",FFIV,NASDAQ -GS,Failed,07-26-2017,Jun 2017,1.55 ,1.59 ,4 ,-2.52 ,07/26/2017 18:01
"Hub Group, Inc.",HUBG,NASDAQ -GS,Failed,07-26-2017,Jun 2017,0.36 ,0.37 ,9 ,-2.7 ,07/26/2017 18:01
Discover Financial Services,DFS,NYSE,Failed,07-26-2017,Jun 2017,1.4 ,1.45 ,9 ,-3.45 ,07/26/2017 18:01
Retail Opportunity Investments Corp.,ROIC,NASDAQ -GS,Failed,07-26-2017,Jun 2017,0.27 ,0.28 ,10 ,-3.57 ,07/26/2017 18:01
Diana Shipping inc.,DSX,NYSE,Failed,07-26-2017,Jun 2017,-0.26 ,-0.25 ,7 ,-4 ,07/26/2017 18:01
Investar Holding Corporation,ISTR,NASDAQ -GM,Failed,07-26-2017,Jun 2017,0.22 ,0.23 ,2 ,-4.35 ,07/26/2017 18:01
Farmers National Banc Corp.,FMNB,NASDAQ -CM,Failed,07-26-2017,Jun 2017,0.21 ,0.22 ,1 ,-4.55 ,07/26/2017 18:01
CPB Inc.,CPF,NYSE,Failed,07-26-2017,Jun 2017,0.39 ,0.41 ,2 ,-4.88 ,07/26/2017 18:01
AVX Corporation,AVX,NYSE,Failed,07-26-2017,Jun 2017,0.19 ,0.2 ,1 ,-5 ,07/26/2017 18:01
Brightcove Inc.,BCOV,NASDAQ -GS,Failed,07-26-2017,Jun 2017,-0.2 ,-0.19 ,4 ,-5.26 ,07/26/2017 18:01
STMicroelectronics N.V.,STM,NYSE,Failed,07-26-2017,Jun 2017,0.17 ,0.18 ,3 ,-5.56 ,07/26/2017 18:01
AU Optronics Corp,AUO,NYSE,Failed,07-26-2017,Jun 2017,0.34 ,0.36 ,1 ,-5.56 ,07/26/2017 18:01
BankFinancial Corporation,BFIN,NASDAQ -GS,Failed,07-26-2017,Jun 2017,0.14 ,0.15 ,2 ,-6.67 ,07/26/2017 18:01
Whirlpool Corporation,WHR,NYSE,Failed,07-26-2017,Jun 2017,3.35 ,3.6 ,4 ,-6.94 ,07/26/2017 18:01
"HomeTrust Bancshares, Inc.",HTBI,NASDAQ -GS,Failed,07-26-2017,Jun 2017,0.25 ,0.27 ,1 ,-7.41 ,07/26/2017 18:01
"Monolithic Power Systems, Inc.",MPWR,NASDAQ -GS,Failed,07-26-2017,Jun 2017,0.36 ,0.39 ,3 ,-7.69 ,07/26/2017 18:01
"Bridge Bancorp, Inc.",BDGE,NASDAQ -GS,Failed,07-26-2017,Jun 2017,0.45 ,0.49 ,1 ,-8.16 ,07/26/2017 18:01
"Bridgepoint Education, Inc.",BPI,NYSE,Failed,07-26-2017,Jun 2017,0.21 ,0.23 ,2 ,-8.7 ,07/26/2017 18:01
"Mellanox Technologies, Ltd.",MLNX,NASDAQ -GS,Failed,07-26-2017,Jun 2017,0.1 ,0.11 ,5 ,-9.09 ,07/26/2017 18:01
Public Storage,PSA,NYSE,Failed,07-26-2017,Jun 2017,2.31 ,2.56 ,10 ,-9.77 ,07/26/2017 18:01
Hess Corporation,HES,NYSE,Failed,07-26-2017,Jun 2017,-1.46 ,-1.32 ,10 ,-10.61 ,07/26/2017 18:01
Regal Entertainment Group,RGC,NYSE,Failed,07-26-2017,Jun 2017,0.16 ,0.18 ,6 ,-11.11 ,07/26/2017 18:01
"Selective Insurance Group, Inc.",SIGI,NASDAQ -GS,Failed,07-26-2017,Jun 2017,0.68 ,0.78 ,2 ,-12.82 ,07/26/2017 18:01
USG Corporation,USG,NYSE,Failed,07-26-2017,Jun 2017,0.44 ,0.51 ,8 ,-13.73 ,07/26/2017 18:01
"Western New England Bancorp, Inc.",WNEB,NASDAQ -GS,Failed,07-26-2017,Jun 2017,0.12 ,0.14 ,2 ,-14.29 ,07/26/2017 18:01
Six Flags Entertainment Corporation New,SIX,NYSE,Failed,07-26-2017,Jun 2017,0.59 ,0.7 ,9 ,-15.71 ,07/26/2017 18:01
"Banc of California, Inc.",BANC,NYSE,Failed,07-26-2017,Jun 2017,0.2 ,0.24 ,6 ,-16.67 ,07/26/2017 18:01
"First Financial Northwest, Inc.",FFNW,NASDAQ -GS,Failed,07-26-2017,Jun 2017,0.18 ,0.22 ,2 ,-18.18 ,07/26/2017 18:01
Essendant Inc.,ESND,NASDAQ -GS,Failed,07-26-2017,Jun 2017,0.28 ,0.35 ,1 ,-20 ,07/26/2017 18:01
"Carriage Services, Inc.",CSV,NYSE,Failed,07-26-2017,Jun 2017,0.3 ,0.39 ,1 ,-23.08 ,07/26/2017 18:01
Telefonica Brasil S.A.,VIV,NYSE,Failed,07-26-2017,Jun 2017,0.16 ,0.22 ,3 ,-27.27 ,07/26/2017 18:01
Methanex Corporation,MEOH,NASDAQ -GS,Failed,07-26-2017,Jun 2017,0.85 ,1.19 ,2 ,-28.57 ,07/26/2017 18:01
Capstead Mortgage Corporation,CMO,NYSE,Failed,07-26-2017,Jun 2017,0.14 ,0.2 ,1 ,-30 ,07/26/2017 18:01
"Buffalo Wild Wings, Inc.",BWLD,NASDAQ -GS,Failed,07-26-2017,Jun 2017,0.66 ,1.01 ,12 ,-34.65 ,07/26/2017 18:01
"ServiceNow, Inc.",NOW,NYSE,Failed,07-26-2017,Jun 2017,-0.25 ,-0.18 ,5 ,-38.89 ,07/26/2017 18:01
"Safe Bulkers, Inc",SB,NYSE,Failed,07-26-2017,Jun 2017,-0.07 ,-0.05 ,5 ,-40 ,07/26/2017 18:01
"NextEra Energy Partners, LP",NEP,NYSE,Failed,07-26-2017,Jun 2017,0.24 ,0.43 ,6 ,-44.19 ,07/26/2017 18:01
Aspen Insurance Holdings Limited,AHL,NYSE,Failed,07-26-2017,Jun 2017,0.47 ,0.91 ,1 ,-48.35 ,07/26/2017 18:01
Navios Maritime Midstream Partners LP,NAP,NYSE,Failed,07-26-2017,Jun 2017,0.1 ,0.23 ,2 ,-56.52 ,07/26/2017 18:01
"Provident Financial Holdings, Inc.",PROV,NASDAQ -GS,Failed,07-26-2017,Jun 2017,0.12 ,0.29 ,1 ,-58.62 ,07/26/2017 18:01
Suncor Energy  Inc.,SU,NYSE,Failed,07-26-2017,Jun 2017,0.09 ,0.18 ,7 ,-60.87 ,07/26/2017 18:01
"Triumph Group, Inc.",TGI,NYSE,Failed,07-26-2017,Jun 2017,0.24 ,0.87 ,5 ,-72.41 ,07/26/2017 18:01
Quidel Corporation,QDEL,NASDAQ -GS,Failed,07-26-2017,Jun 2017,-0.35 ,-0.17 ,2 ,-105.88 ,07/26/2017 18:01
Rent-A-Center Inc.,RCII,NASDAQ -GS,Failed,07-26-2017,Jun 2017,-0.01 ,0.07 ,6 ,-114.29 ,07/26/2017 18:01
"Angie's List, Inc.",ANGI,NASDAQ -GS,Failed,07-26-2017,Jun 2017,-0.13 ,-0.06 ,3 ,-116.67 ,07/26/2017 18:01
"Coeur Mining, Inc.",CDE,NYSE,Failed,07-26-2017,Jun 2017,-0.01 ,0.03 ,1 ,-133.33 ,07/26/2017 18:01
"LivePerson, Inc.",LPSN,NASDAQ -GS,Failed,07-26-2017,Jun 2017,-0.03 ,-0.01 ,4 ,-200 ,07/26/2017 18:01
"First Solar, Inc.",FSLR,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.64 ,-0.04 ,10 ,1700 ,07/27/2017 08:27
ConocoPhillips,COP,NYSE,Exceeded,07-27-2017,Jun 2017,0.14 ,-0.02 ,9 ,800 ,07/27/2017 08:27
Cenovus Energy Inc,CVE,NYSE,Exceeded,07-27-2017,Jun 2017,0.27 ,0.03 ,5 ,800 ,07/27/2017 08:27
Crescent Point Energy Corporation,CPG,NYSE,Exceeded,07-27-2017,Jun 2017,0.05 ,-0.03 ,2 ,266.67 ,07/27/2017 08:27
"DSP Group, Inc.",DSPG,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.06 ,0.02 ,2 ,200 ,07/27/2017 08:27
Navios Maritime Partners LP,NMM,NYSE,Exceeded,07-27-2017,Jun 2017,0.03 ,0.01 ,3 ,200 ,07/27/2017 08:27
"Newpark Resources, Inc.",NR,NYSE,Exceeded,07-27-2017,Jun 2017,0.02 ,-0.02 ,4 ,200 ,07/27/2017 08:27
"SPS Commerce, Inc.",SPSC,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.15 ,0.05 ,5 ,200 ,07/27/2017 08:27
Electronic Arts Inc.,EA,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.36 ,0.14 ,8 ,157.14 ,07/27/2017 08:27
Nokia Corporation,NOK,NYSE,Exceeded,07-27-2017,Jun 2017,0.09 ,0.04 ,6 ,125 ,07/27/2017 08:27
"ACI Worldwide, Inc.",ACIW,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.02 ,-0.09 ,3 ,122.22 ,07/27/2017 08:27
New Home Company Inc. (The),NWHM,NYSE,Exceeded,07-27-2017,Jun 2017,0.11 ,0.05 ,1 ,120 ,07/27/2017 08:27
Astrazeneca PLC,AZN,NYSE,Exceeded,07-27-2017,Jun 2017,0.87 ,0.41 ,3 ,112.2 ,07/27/2017 08:27
Mitel Networks Corporation,MITL,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0 ,-0.01 ,1 ,100 ,07/27/2017 08:27
"Lawson Products, Inc.",LAWS,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,0.2 ,0.1 ,2 ,100 ,07/27/2017 08:27
TAL Education Group,TAL,NYSE,Exceeded,07-27-2017,May 2017,0.32 ,0.16 ,1 ,100 ,07/27/2017 08:27
"Town Sports International Holdings, Inc.",CLUB,NASDAQ -GM,Exceeded,07-27-2017,Jun 2017,-0.02 ,-0.14 ,1 ,85.71 ,07/27/2017 08:27
"Twitter, Inc.",TWTR,NYSE,Exceeded,07-27-2017,Jun 2017,-0.02 ,-0.12 ,7 ,83.33 ,07/27/2017 08:27
"Imperva, Inc.",IMPV,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,-0.1 ,-0.59 ,1 ,83.05 ,07/27/2017 08:27
"Boston Beer Company, Inc. (The)",SAM,NYSE,Exceeded,07-27-2017,Jun 2017,2.35 ,1.29 ,2 ,82.17 ,07/27/2017 08:27
Ardagh Group S.A.,ARD,NYSE,Exceeded,07-27-2017,Jun 2017,0.54 ,0.3 ,1 ,80 ,07/27/2017 08:27
ArcelorMittal,MT,NYSE,Exceeded,07-27-2017,Jun 2017,1.33 ,0.78 ,1 ,70.51 ,07/27/2017 08:27
Cray Inc,CRAY,NASDAQ -GS,Exceeded,07-27-2017,Jun 2017,-0.2 ,-0.54 ,2 ,62.96 ,07/27/2017 08:27
MPLX LP,MPLX,NYSE,Exceeded,07-27-2017,Jun 2017,0.26 ,0.16 ,7 ,62.5 ,07/27/2017 08:27
